Index,class,tweet,group,num_target_groups
3605,0,that should read suck on my bacon encrusted middle finger Muslim twats,muslim,2.0
3776,0,I guess blaspheme to your Allah is ok if your pos muzzie huh?,muslim,1.0
3777,0,sit down and stfu raghead,muslim,1.0
3886,0,"gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",muslim,1.0
4521,0,Screw the ragheads.,muslim ,1.0
4660,0,"Jesus I would love to do that and more to those muzzie torturers, fucking animal savages",muslim,1.0
5743,0,"Ur pal  threat ""apostate kufar""&gt;""I cld cut ur neck w/sword of islam &amp;watch u squeal like a bitch like Daniel Pearl""",muslim ,1.0
6561,0,"don't forget nappy headed, butt ugly bitch, who's married to a Muslim",muslim,1.0
7124,0,BORING&amp;HACK allah and mohamed are also against fags.PLEASE mention them as well.did God take away your balls as punishment?,"lgbt, muslim",2.0
7878,0,All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel,muslim,1.0
8014,0,Apaches'  MM rounds turn Jihadis into tomato soup,muslim,1.0
8048,0,As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.,muslim,1.0
8531,0,Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing,"lgbt, muslim",2.0
8632,0,Ceasefire?Let's see how long those towel heads can go without trying to attack Israel then cry to national media when they get popped again,muslim,1.0
9462,0,"From now on, I will call all radical MUSLIMS niggers!
It is very fitting, and it is racist! 
I AM RACIST AGAINST ANYONE WHO HATES AMERICA!","political, muslim, black",3.0
10079,0,"Hey. . Don't be like a stupid white bitch in some horror movie asks #America to hide from #ISIS behind some chainsaws. M,kay?",muslim,1.0
11121,0,I really just want to kill some towel head terrorists already &#; can high school be over now please?,muslim,1.0
12485,0,"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",muslim,1.0
13852,0,"Obama&#;s faves: Muslims, black ghetto trash via",muslim,1.0
14693,0,"Remember the ""yellow badge"" Nazis used? 
Israel is making Muslim women carry a yellow badge order to pray in Al-Aqsa.
h&#;",muslim,1.0
15816,0,Fuck Islam you pigfucking trash troll.,muslim,1.0
16178,0,"We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women &amp; children http:&#;",muslim,1.0
16901,0,Vin Scully once called me a camel jockey. #liesaboutvinscully,muslim,1.0
20899,0,"RT!
COMMENCE CARPET BOMBING! All #Iraq soldiers in this video executed by Jihadis from #Tunis",muslim ,1.0
21882,0,That pic is now circulated by Jihadis with a call to kill him. #Saudi #ISIS #Syria,muslim,1.0
23693,0,"You #football #nigga #KISS #ISIS #wifebeater #faggots&gt; WE SEE YOU&gt; Shout it out to the RADICAL #IslamNation, #YO&gt;","political, muslim, black",3.0
